FID *,Name,Region,State,MAP_TYPE,MAP_LEVEL,PROJECT,MAP_UNIT_S,MAP_UNIT_N,SUBSECTION,ecological.section,ecological.province
945,North Dakota,West North Central,ND,ECUN,SUBS,ECOMAP07,251Ab,Souris-Agassiz Stratified Fan Deposits,233,251A,251
946,North Dakota,West North Central,ND,ECUN,SUBS,ECOMAP07,331Ea,Missouri Coteau,63,331E,331
947,North Dakota,West North Central,ND,ECUN,SUBS,ECOMAP07,332Aa,Glaciated Drift Plains,72,332A,332
948,North Dakota,West North Central,ND,ECUN,SUBS,ECOMAP07,332Ab,Souris Basin,78,332A,332
949,North Dakota,West North Central,ND,ECUN,SUBS,ECOMAP07,332Ae,Turtle Mountains,81,332A,332
950,North Dakota,West North Central,ND,ECUN,SUBS,ECOMAP07,332Ad,Souris Sand Deltas,92,332A,332
951,North Dakota,West North Central,ND,ECUN,SUBS,ECOMAP07,251Aa,Lake Agassiz Plain,93,251A,251
952,North Dakota,West North Central,ND,ECUN,SUBS,ECOMAP07,331Mf,River Breaks,96,331M,331
953,North Dakota,West North Central,ND,ECUN,SUBS,ECOMAP07,332Ac,Glaciated Outwash Plains,103,332A,332
954,North Dakota,West North Central,ND,ECUN,SUBS,ECOMAP07,331Me,Missouri Plateau and River Breaks,116,331M,331
955,North Dakota,West North Central,ND,ECUN,SUBS,ECOMAP07,331Md,Little Missouri,130,331M,331
956,North Dakota,West North Central,ND,ECUN,SUBS,ECOMAP07,331Mc,Missouri Plateau,143,331M,331
957,North Dakota,West North Central,ND,ECUN,SUBS,ECOMAP07,331Mi,Sagebrush Steppe,157,331M,331
958,North Dakota,West North Central,ND,ECUN,SUBS,ECOMAP07,331Fv,River Breaks,268,331F,331
959,North Dakota,West North Central,ND,ECUN,SUBS,ECOMAP07,251Ba,Upper Minnesota River-Des Moines Lobe,278,251B,251
960,North Dakota,West North Central,ND,ECUN,SUBS,ECOMAP07,332Bc,Glacial Lake Dakota,281,332B,332
961,North Dakota,West North Central,ND,ECUN,SUBS,ECOMAP07,251Bb,Outer Coteau des Prairies,309,251B,251
962,North Dakota,West North Central,ND,ECUN,SUBS,ECOMAP07,332Ba,Drift Plains,324,332B,332
963,Oklahoma,West South Central,OK,ECUN,SUBS,ECOMAP07,332Ea,Smokey Hills,731,332E,332
964,Oklahoma,West South Central,OK,ECUN,SUBS,ECOMAP07,332Fc,Eastern South Central and Red Bed Plains,946,332F,332
965,Oklahoma,West South Central,OK,ECUN,SUBS,ECOMAP07,332Fb,Southern South Central and Red Bed Plains,968,332F,332
966,Oklahoma,West South Central,OK,ECUN,SUBS,ECOMAP07,255Ac,Central Red Rolling Prairie,1020,255A,255
967,Oklahoma,West South Central,OK,ECUN,SUBS,ECOMAP07,332Fd,Canadian River Dune Belt,1021,332F,332
968,Oklahoma,West South Central,OK,ECUN,SUBS,ECOMAP07,251Fb,Eastern Flint Hills,871,251F,251
969,Oklahoma,West South Central,OK,ECUN,SUBS,ECOMAP07,255Am,Central Tall Grass Prairie,933,255A,255
970,Oklahoma,West South Central,OK,ECUN,SUBS,ECOMAP07,223Am,Springfield Plain,950,223A,223
971,Oklahoma,West South Central,OK,ECUN,SUBS,ECOMAP07,331Bd,Sandy-Smooth High Plains,954,331B,331
972,Oklahoma,West South Central,OK,ECUN,SUBS,ECOMAP07,331Bc,Tablelands-Red Hills,955,331B,331
973,Oklahoma,West South Central,OK,ECUN,SUBS,ECOMAP07,315Fb,Canadian-Cimarron Breaks,957,315F,315
974,Oklahoma,West South Central,OK,ECUN,SUBS,ECOMAP07,255Aa,Cross Timbers-Cherokee Prairie,988,255A,255
975,Oklahoma,West South Central,OK,ECUN,SUBS,ECOMAP07,251Fc,Southern Flint Hills,1034,251F,251
976,Oklahoma,West South Central,OK,ECUN,SUBS,ECOMAP07,223Ah,Elk River Hills,1037,223A,223
977,Oklahoma,West South Central,OK,ECUN,SUBS,ECOMAP07,315Fc,Red Prairie,1040,315F,315
978,Oklahoma,West South Central,OK,ECUN,SUBS,ECOMAP07,223An,Springfield Plateau,1041,223A,223
979,Oklahoma,West South Central,OK,ECUN,SUBS,ECOMAP07,255Ab,Central Oklahoma Cross Timbers,1048,255A,255
980,Oklahoma,West South Central,OK,ECUN,SUBS,ECOMAP07,M223Ab,Boston Hills,1051,M223A,M223
981,Oklahoma,West South Central,OK,ECUN,SUBS,ECOMAP07,255Ae,Cross Timbers and Central Rolling Red Prairie,1066,255A,255
982,Oklahoma,West South Central,OK,ECUN,SUBS,ECOMAP07,M231Ab,West Central Ouachita Mountains,1105,M231A,M231
983,Oklahoma,West South Central,OK,ECUN,SUBS,ECOMAP07,255Ea,Red River Alluvial Plain,1123,255E,255
984,Oklahoma,West South Central,OK,ECUN,SUBS,ECOMAP07,231Eb,Southwestern Arkansas,1124,231E,231
985,Oklahoma,West South Central,OK,ECUN,SUBS,ECOMAP07,231Eo,Red River Alluvial Plain,1128,231E,231
986,Oklahoma,West South Central,OK,ECUN,SUBS,ECOMAP07,231Gc,Western Arkansas Valley and Ridges,1072,231G,231
987,Oklahoma,West South Central,OK,ECUN,SUBS,ECOMAP07,315Ce,Central Rolling Plains,1079,315C,315
988,Oklahoma,West South Central,OK,ECUN,SUBS,ECOMAP07,255Af,Cross Timbers - Southern Oklahoma,1110,255A,255
989,Oklahoma,West South Central,OK,ECUN,SUBS,ECOMAP07,231Ee,Southern Oklahoma Subsection,1113,231E,231
990,Oklahoma,West South Central,OK,ECUN,SUBS,ECOMAP07,M231Ad,Athens Piedmont Plateau,1115,M231A,M231
991,Oklahoma,West South Central,OK,ECUN,SUBS,ECOMAP07,M231Aa,Fourche Mountains,1086,M231A,M231
992,Oklahoma,West South Central,OK,ECUN,SUBS,ECOMAP07,255Ad,Southern Oklahoma Grand Prairie,1092,255A,255
993,Oklahoma,West South Central,OK,ECUN,SUBS,ECOMAP07,251Ea,Scarped Osage Plains,877,251E,251
994,Oklahoma,West South Central,OK,ECUN,SUBS,ECOMAP07,331Ba,Sand Hill-Ogolla Plateau,920,331B,331
995,South Dakota,West North Central,SD,ECUN,SUBS,ECOMAP07,332Df,Southern River Breaks,491,332D,332
996,South Dakota,West North Central,SD,ECUN,SUBS,ECOMAP07,332Da,Ponca Plains,497,332D,332
997,South Dakota,West North Central,SD,ECUN,SUBS,ECOMAP07,331Ea,Missouri Coteau,63,331E,331
998,South Dakota,West North Central,SD,ECUN,SUBS,ECOMAP07,251Aa,Lake Agassiz Plain,93,251A,251
999,South Dakota,West North Central,SD,ECUN,SUBS,ECOMAP07,331Fj,Pine Ridge Escarpment,477,331F,331
1000,South Dakota,West North Central,SD,ECUN,SUBS,ECOMAP07,331Mc,Missouri Plateau,143,331M,331
1001,South Dakota,West North Central,SD,ECUN,SUBS,ECOMAP07,331Mi,Sagebrush Steppe,157,331M,331
1002,South Dakota,West North Central,SD,ECUN,SUBS,ECOMAP07,331Fv,River Breaks,268,331F,331
1003,South Dakota,West North Central,SD,ECUN,SUBS,ECOMAP07,251Ba,Upper Minnesota River-Des Moines Lobe,278,251B,251
1004,South Dakota,West North Central,SD,ECUN,SUBS,ECOMAP07,332Dg,Dakota-Nebraska Eroded Tablelands,526,332D,332
1005,South Dakota,West North Central,SD,ECUN,SUBS,ECOMAP07,332Bc,Glacial Lake Dakota,281,332B,332
1006,South Dakota,West North Central,SD,ECUN,SUBS,ECOMAP07,331Ma,Moreau Prairie,282,331M,331
1007,South Dakota,West North Central,SD,ECUN,SUBS,ECOMAP07,332Bd,Southern Missouri Coteau Slope,292,332B,332
1008,South Dakota,West North Central,SD,ECUN,SUBS,ECOMAP07,331Fu,Missouri Plateau,302,331F,331
1009,South Dakota,West North Central,SD,ECUN,SUBS,ECOMAP07,251Bb,Outer Coteau des Prairies,309,251B,251
1010,South Dakota,West North Central,SD,ECUN,SUBS,ECOMAP07,331Fb,Shale Scablands,310,331F,331
1011,South Dakota,West North Central,SD,ECUN,SUBS,ECOMAP07,331Ff,Dense Clay Prairie,318,331F,331
1012,South Dakota,West North Central,SD,ECUN,SUBS,ECOMAP07,332Be,Southern Missouri Coteau Slope,413,332B,332
1013,South Dakota,West North Central,SD,ECUN,SUBS,ECOMAP07,332De,Southern Missouri Coteau,416,332D,332
1014,South Dakota,West North Central,SD,ECUN,SUBS,ECOMAP07,331Fe,Missouri Breaks,421,331F,331
1015,South Dakota,West North Central,SD,ECUN,SUBS,ECOMAP07,331Fh,White River Badlands,441,331F,331
1016,South Dakota,West North Central,SD,ECUN,SUBS,ECOMAP07,332Dd,Southern Missouri Coteau Slope,446,332D,332
1017,South Dakota,West North Central,SD,ECUN,SUBS,ECOMAP07,332Ba,Drift Plains,324,332B,332
1018,South Dakota,West North Central,SD,ECUN,SUBS,ECOMAP07,M334Aa,Black Hills Foothills,344,M334A,M334
1019,South Dakota,West North Central,SD,ECUN,SUBS,ECOMAP07,331Fd,Missouri Plateau,354,331F,331
1020,South Dakota,West North Central,SD,ECUN,SUBS,ECOMAP07,M334Ab,Black Hills Limestone Plateau-Core Highlands,358,M334A,M334
1021,South Dakota,West North Central,SD,ECUN,SUBS,ECOMAP07,251Bd,Northwest Iowa Plains,360,251B,251
1022,South Dakota,West North Central,SD,ECUN,SUBS,ECOMAP07,332Bb,James River Lowland,378,332B,332
1023,South Dakota,West North Central,SD,ECUN,SUBS,ECOMAP07,251Bf,Yankton Hills and Valleys,458,251B,251
1024,South Dakota,West North Central,SD,ECUN,SUBS,ECOMAP07,331Fs,Northern Rolling Pierre Shale Plains,466,331F,331
1025,South Dakota,West North Central,SD,ECUN,SUBS,ECOMAP07,331Ft,Keya Paha Tablelands,469,331F,331
1026,South Dakota,West North Central,SD,ECUN,SUBS,ECOMAP07,251Cg,Missouri River Alluvial Plain,546,251C,251
1027,South Dakota,West North Central,SD,ECUN,SUBS,ECOMAP07,251Ha,Yankton Hills and Valleys,557,251H,251
1028,South Dakota,West North Central,SD,ECUN,SUBS,ECOMAP07,332Ca,Northern and Western Sand Hills,686,332C,332
1029,Texas,West South Central,TX,ECUN,SUBS,ECOMAP07,315Bc,Canadian River Canyon and Hills Woodland,1029,315B,315
1030,Texas,West South Central,TX,ECUN,SUBS,ECOMAP07,332Fb,Southern South Central and Red Bed Plains,968,332F,332
1031,Texas,West South Central,TX,ECUN,SUBS,ECOMAP07,315Bd,Caprock High Plains Grassland,1008,315B,315
1032,Texas,West South Central,TX,ECUN,SUBS,ECOMAP07,255Ac,Central Red Rolling Prairie,1020,255A,255
1033,Texas,West South Central,TX,ECUN,SUBS,ECOMAP07,Water,Water,816,Wate,Wat
1034,Texas,West South Central,TX,ECUN,SUBS,ECOMAP07,321Ba,Stockton Plateau,1162,321B,321
1035,Texas,West South Central,TX,ECUN,SUBS,ECOMAP07,331Bd,Sandy-Smooth High Plains,954,331B,331
1036,Texas,West South Central,TX,ECUN,SUBS,ECOMAP07,315Fb,Canadian-Cimarron Breaks,957,315F,315
1037,Texas,West South Central,TX,ECUN,SUBS,ECOMAP07,255Dd,Southern Texas Coastal Prarie and Savannah,1208,255D,255
1038,Texas,West South Central,TX,ECUN,SUBS,ECOMAP07,232Eb,LA-TX Gulf Coast Marshes and Inland Bays,1210,232E,232
1039,Texas,West South Central,TX,ECUN,SUBS,ECOMAP07,255Cg,Southern Texas Claypan Savannah,1211,255C,255
1040,Texas,West South Central,TX,ECUN,SUBS,ECOMAP07,255Da,Texas Coastal Prairie,1212,255D,255
1041,Texas,West South Central,TX,ECUN,SUBS,ECOMAP07,315Ec,Northwestern Rio Grande Plain,1214,315E,315
1042,Texas,West South Central,TX,ECUN,SUBS,ECOMAP07,315Ed,Northern Rio Grande Plain,1217,315E,315
1043,Texas,West South Central,TX,ECUN,SUBS,ECOMAP07,255Db,Brazos and Brazonia Alluvial Valley,1218,255D,255
1044,Texas,West South Central,TX,ECUN,SUBS,ECOMAP07,232Fe,Piney Woods Transition,1180,232F,232
1045,Texas,West South Central,TX,ECUN,SUBS,ECOMAP07,255Cc,Interior Savannah,1182,255C,255
1046,Texas,West South Central,TX,ECUN,SUBS,ECOMAP07,231Ef,Piney Woods Transition,1185,231E,231
1047,Texas,West South Central,TX,ECUN,SUBS,ECOMAP07,232Fc,Sabine Alluvial Valley,1186,232F,232
1048,Texas,West South Central,TX,ECUN,SUBS,ECOMAP07,315Dc,Llano Uplift,1188,315D,315
1049,Texas,West South Central,TX,ECUN,SUBS,ECOMAP07,315Da,Balcones Canyonlands,1189,315D,315
1050,Texas,West South Central,TX,ECUN,SUBS,ECOMAP07,255Cd,Interior Blackland Prairie,1193,255C,255
1051,Texas,West South Central,TX,ECUN,SUBS,ECOMAP07,232Fa,Southern Loam Hills,1194,232F,232
1052,Texas,West South Central,TX,ECUN,SUBS,ECOMAP07,321Aa,Big Bend Highlands,1195,321A,321
1053,Texas,West South Central,TX,ECUN,SUBS,ECOMAP07,255Cf,Blackland Prairie,1200,255C,255
1054,Texas,West South Central,TX,ECUN,SUBS,ECOMAP07,232Fb,Southwest Flatwoods,1201,232F,232
1055,Texas,West South Central,TX,ECUN,SUBS,ECOMAP07,232Ea,Gulf Coast Prairie,1202,232E,232
1056,Texas,West South Central,TX,ECUN,SUBS,ECOMAP07,315Fc,Red Prairie,1040,315F,315
1057,Texas,West South Central,TX,ECUN,SUBS,ECOMAP07,315Eb,Central Rio Grande Plain,1222,315E,315
1058,Texas,West South Central,TX,ECUN,SUBS,ECOMAP07,315Ea,Coastal Sand Plains,1224,315E,315
1059,Texas,West South Central,TX,ECUN,SUBS,ECOMAP07,315Ba,Querecho Plains Grassland,1055,315B,315
1060,Texas,West South Central,TX,ECUN,SUBS,ECOMAP07,255Dc,Marshes-Inlands Bays-and Barrier Islands,1226,255D,255
1061,Texas,West South Central,TX,ECUN,SUBS,ECOMAP07,315Ef,South Central Rio Grande Plain,1227,315E,315
1062,Texas,West South Central,TX,ECUN,SUBS,ECOMAP07,315Eg,Southeastern Rio Grande Plain,1231,315E,315
1063,Texas,West South Central,TX,ECUN,SUBS,ECOMAP07,321Ae,Sand Hills,1068,321A,321
1064,Texas,West South Central,TX,ECUN,SUBS,ECOMAP07,315Ga,Eastern Rolling Plains,1119,315G,315
1065,Texas,West South Central,TX,ECUN,SUBS,ECOMAP07,255Ea,Red River Alluvial Plain,1123,255E,255
1066,Texas,West South Central,TX,ECUN,SUBS,ECOMAP07,315Cc,Western Rolling Plains,1069,315C,315
1067,Texas,West South Central,TX,ECUN,SUBS,ECOMAP07,231Eo,Red River Alluvial Plain,1128,231E,231
1068,Texas,West South Central,TX,ECUN,SUBS,ECOMAP07,255Eb,Western Cross Timbers,1129,255E,255
1069,Texas,West South Central,TX,ECUN,SUBS,ECOMAP07,255Ed,Texas Grand Prairie,1130,255E,255
1070,Texas,West South Central,TX,ECUN,SUBS,ECOMAP07,255Ee,Texas Eastern Cross Timbers,1131,255E,255
1071,Texas,West South Central,TX,ECUN,SUBS,ECOMAP07,321Ad,Jornada Plains Desert Grass-Shrubland,1071,321A,321
1072,Texas,West South Central,TX,ECUN,SUBS,ECOMAP07,315Ce,Central Rolling Plains,1079,315C,315
1073,Texas,West South Central,TX,ECUN,SUBS,ECOMAP07,315Aa,Artesia Plains Desert Grass-Shrubland,1111,315A,315
1074,Texas,West South Central,TX,ECUN,SUBS,ECOMAP07,231Ea,South Central Arkansas,1112,231E,231
1075,Texas,West South Central,TX,ECUN,SUBS,ECOMAP07,321Ab,Trans-Pecos Isolated Mountain Ranges,1171,321A,321
1076,Texas,West South Central,TX,ECUN,SUBS,ECOMAP07,255Ce,Trinity Alluvial Valley,1176,255C,255
1077,Texas,West South Central,TX,ECUN,SUBS,ECOMAP07,315Db,Western Edwards Plateau,1178,315D,315
1078,Texas,West South Central,TX,ECUN,SUBS,ECOMAP07,255Ba,Blackland Prairie,1135,255B,255
1079,Texas,West South Central,TX,ECUN,SUBS,ECOMAP07,315Cb,Eastern Rolling Plains,1136,315C,315
1080,Texas,West South Central,TX,ECUN,SUBS,ECOMAP07,M313Ba,Guadalupe Mountains Woodland,1137,M313B,M313
1081,Texas,West South Central,TX,ECUN,SUBS,ECOMAP07,321Ac,Trans-Pecos Desert Shrubland,1138,321A,321
1082,Texas,West South Central,TX,ECUN,SUBS,ECOMAP07,255Ca,Texas Claypan Savannah,1144,255C,255
1083,Texas,West South Central,TX,ECUN,SUBS,ECOMAP07,231Eg,Sand Hills,1145,231E,231
1084,Texas,West South Central,TX,ECUN,SUBS,ECOMAP07,315Bb,Morrison High Plains Grassland,1147,315B,315
1085,Texas,West South Central,TX,ECUN,SUBS,ECOMAP07,255Ch,East Texas Timberlands-Cross Timbers,1148,255C,255
1086,Texas,West South Central,TX,ECUN,SUBS,ECOMAP07,231Ek,Southwestern Arkansas Blackland Prairies,1151,231E,231
1087,Texas,West South Central,TX,ECUN,SUBS,ECOMAP07,315Cd,Southwestern Rolling Plains,1157,315C,315
1088,Texas,West South Central,TX,ECUN,SUBS,ECOMAP07,315Cf,South Central Rolling Plains,1158,315C,315
1089,Texas,West South Central,TX,ECUN,SUBS,ECOMAP07,255Ec,Southwestern Cross Timbers,1159,255E,255
1090,Utah,Mountain,UT,ECUN,SUBS,ECOMAP07,M341Ag,East Great Basin Ranges and Mountains,498,M341A,M341
1091,Utah,Mountain,UT,ECUN,SUBS,ECOMAP07,M331Dv,Southern Bear River-Wasatch Ranges,511,M331D,M331
1092,Utah,Mountain,UT,ECUN,SUBS,ECOMAP07,341At,Great Salt Lake Desert,476,341A,341
1093,Utah,Mountain,UT,ECUN,SUBS,ECOMAP07,M331Dq,Northern Wasatch Mountains,482,M331D,M331
1094,Utah,Mountain,UT,ECUN,SUBS,ECOMAP07,M341Ce,Sevier Plateau,760,M341C,M341
1095,Utah,Mountain,UT,ECUN,SUBS,ECOMAP07,M341Ch,Aquarius Plateau-Boulder Mountain,767,M341C,M341
1096,Utah,Mountain,UT,ECUN,SUBS,ECOMAP07,M341Cj,Kolob Terrace-Cedar Mountain,782,M341C,M341
1097,Utah,Mountain,UT,ECUN,SUBS,ECOMAP07,M341Cb,Southern Markagunt-Paunsaugunt Plateaus,786,M341C,M341
1098,Utah,Mountain,UT,ECUN,SUBS,ECOMAP07,341Bn,Hatch Point-Dry Valley,787,341B,341
1099,Utah,Mountain,UT,ECUN,SUBS,ECOMAP07,341Bm,Henry Mountains,756,341B,341
1100,Utah,Mountain,UT,ECUN,SUBS,ECOMAP07,M341Ae,Schell Creek and Deep Creek Ranges,563,M341A,M341
1101,Utah,Mountain,UT,ECUN,SUBS,ECOMAP07,341Aq,Canyon Mountain Range,519,341A,341
1102,Utah,Mountain,UT,ECUN,SUBS,ECOMAP07,342Gj,Flaming Gorge Canyonlands,529,342G,342
1103,Utah,Mountain,UT,ECUN,SUBS,ECOMAP07,341Bo,North Uncompahgre Plateau,733,341B,341
1104,Utah,Mountain,UT,ECUN,SUBS,ECOMAP07,M331Du,Bannock-Malad-Pocatello Ranges,388,M331D,M331
1105,Utah,Mountain,UT,ECUN,SUBS,ECOMAP07,M331Di,Cache Valley,389,M331D,M331
1106,Utah,Mountain,UT,ECUN,SUBS,ECOMAP07,342Ja,South Central Idaho Ranges,393,342J,342
1107,Utah,Mountain,UT,ECUN,SUBS,ECOMAP07,M331Do,Bear River Front Range,422,M331D,M331
1108,Utah,Mountain,UT,ECUN,SUBS,ECOMAP07,M331Dn,Northern Wasatch Range,423,M331D,M331
1109,Utah,Mountain,UT,ECUN,SUBS,ECOMAP07,M341Cc,Northern Markagunt Plateau,758,M341C,M341
1110,Utah,Mountain,UT,ECUN,SUBS,ECOMAP07,M331Ed,Clay Basin-Corson Peak Uplands,582,M331E,M331
1111,Utah,Mountain,UT,ECUN,SUBS,ECOMAP07,M331Ek,Trout Creek Peak Highlands,589,M331E,M331
1112,Utah,Mountain,UT,ECUN,SUBS,ECOMAP07,313Aj,Kolob-Skutunpah Terraces and Cliffs,804,313A,313
1113,Utah,Mountain,UT,ECUN,SUBS,ECOMAP07,322Aq,Saint George Basin,805,322A,322
1114,Utah,Mountain,UT,ECUN,SUBS,ECOMAP07,313Ac,Monument Upwarp,906,313A,313
1115,Utah,Mountain,UT,ECUN,SUBS,ECOMAP07,M331Em,West Fork Duchesne River-Soapstone Mountain,593,M331E,M331
1116,Utah,Mountain,UT,ECUN,SUBS,ECOMAP07,M331Ee,Dutch John-Cold Spring Mountain,594,M331E,M331
1117,Utah,Mountain,UT,ECUN,SUBS,ECOMAP07,341Av,Northern Sevier Desert Mountains and Valleys,597,341A,341
1118,Utah,Mountain,UT,ECUN,SUBS,ECOMAP07,M331Ei,Diamond Mountain Highlands,598,M331E,M331
1119,Utah,Mountain,UT,ECUN,SUBS,ECOMAP07,342Jb,Curlew-Bear River-Blue Creek Valleys,452,342J,342
1120,Utah,Mountain,UT,ECUN,SUBS,ECOMAP07,342Ga,Green River Basin,453,342G,342
1121,Utah,Mountain,UT,ECUN,SUBS,ECOMAP07,342Ea,West Bear River Divide,455,342E,342
1122,Utah,Mountain,UT,ECUN,SUBS,ECOMAP07,M341Ai,East Great Basin Hills,467,M341A,M341
1123,Utah,Mountain,UT,ECUN,SUBS,ECOMAP07,341As,Great Salt Lake Basin,471,341A,341
1124,Utah,Mountain,UT,ECUN,SUBS,ECOMAP07,341Ar,Grassy-Lakeside-Hogup Mountains and Valleys,472,341A,341
1125,Utah,Mountain,UT,ECUN,SUBS,ECOMAP07,M331Dy,Southern Wasatch Range,614,M331D,M331
1126,Utah,Mountain,UT,ECUN,SUBS,ECOMAP07,M331Ej,Little Mountain,615,M331E,M331
1127,Utah,Mountain,UT,ECUN,SUBS,ECOMAP07,341Ca,Uinta Basin,619,341C,341
1128,Utah,Mountain,UT,ECUN,SUBS,ECOMAP07,341Au,Southern Salt Lake Mountains and Valleys,539,341A,341
1129,Utah,Mountain,UT,ECUN,SUBS,ECOMAP07,M331Ec,North Slope Uinta Mountains,550,M331E,M331
1130,Utah,Mountain,UT,ECUN,SUBS,ECOMAP07,M331Dr,Front Wasatch Mountains,560,M331D,M331
1131,Utah,Mountain,UT,ECUN,SUBS,ECOMAP07,M331Dw,Wasatch Valleys and Hills,571,M331D,M331
1132,Utah,Mountain,UT,ECUN,SUBS,ECOMAP07,M331Eb,Western High Uintas,574,M331E,M331
1133,Utah,Mountain,UT,ECUN,SUBS,ECOMAP07,M331Ea,Kamas Uplands,575,M331E,M331
1134,Utah,Mountain,UT,ECUN,SUBS,ECOMAP07,313Ai,Vermilion Cliffs-Navajo Steppe,798,313A,313
1135,Utah,Mountain,UT,ECUN,SUBS,ECOMAP07,313At,Gothic Mesas Carrizo Mountains,814,313A,313
1136,Utah,Mountain,UT,ECUN,SUBS,ECOMAP07,341Be,Dove Creek-Egnar Plains,820,341B,341
1137,Utah,Mountain,UT,ECUN,SUBS,ECOMAP07,341Bh,Abajo Mountains,826,341B,341
1138,Utah,Mountain,UT,ECUN,SUBS,ECOMAP07,313Ad,Glen Canyon,829,313A,313
1139,Utah,Mountain,UT,ECUN,SUBS,ECOMAP07,313Ab,Canyon of Ancients-Blanding Basin,840,313A,313
1140,Utah,Mountain,UT,ECUN,SUBS,ECOMAP07,313Ag,Kaibab Uplift,844,313A,313
1141,Utah,Mountain,UT,ECUN,SUBS,ECOMAP07,322Az,Hualapai Mountains Coniferous Forest,872,322A,322
1142,Utah,Mountain,UT,ECUN,SUBS,ECOMAP07,M331Dx,Mt. Timpanogos-Southern Wasatch Front,599,M331D,M331
1143,Utah,Mountain,UT,ECUN,SUBS,ECOMAP07,342Gg,Axial Basin High,601,342G,342
1144,Utah,Mountain,UT,ECUN,SUBS,ECOMAP07,341Ax,Sevier Lake-Western Utah Mountains and Valleys,608,341A,341
1145,Utah,Mountain,UT,ECUN,SUBS,ECOMAP07,M331Dz,Strawberry Valley-Current Creek,610,M331D,M331
1146,Utah,Mountain,UT,ECUN,SUBS,ECOMAP07,M331El,Johnny Star Flat Foothills,611,M331E,M331
1147,Utah,Mountain,UT,ECUN,SUBS,ECOMAP07,M331Eh,Blue Mountain Highlands,627,M331E,M331
1148,Utah,Mountain,UT,ECUN,SUBS,ECOMAP07,341Aw,Sevier Desert,628,341A,341
1149,Utah,Mountain,UT,ECUN,SUBS,ECOMAP07,M341Be,Semi-Arid Benchlands and Canyonlands,633,M341B,M341
1150,Utah,Mountain,UT,ECUN,SUBS,ECOMAP07,M341Ct,Eastern Wasatch Mountain Zone,636,M341C,M341
1151,Utah,Mountain,UT,ECUN,SUBS,ECOMAP07,M341Bf,Semi-Arid Hills and Low Mountains,640,M341B,M341
1152,Utah,Mountain,UT,ECUN,SUBS,ECOMAP07,M341Cs,Semi-Arid Foothills,646,M341C,M341
1153,Utah,Mountain,UT,ECUN,SUBS,ECOMAP07,M341Cr,Northwestern Woodlands and Shrub Mountains,653,M341C,M341
1154,Utah,Mountain,UT,ECUN,SUBS,ECOMAP07,M341Ci,North Basins and Slopes,654,M341C,M341
1155,Utah,Mountain,UT,ECUN,SUBS,ECOMAP07,313Ae,Escalante,792,313A,313
1156,Utah,Mountain,UT,ECUN,SUBS,ECOMAP07,341Fn,Red Mountain,793,341F,341
1157,Utah,Mountain,UT,ECUN,SUBS,ECOMAP07,322As,Beaver Dam Wash,795,322A,322
1158,Utah,Mountain,UT,ECUN,SUBS,ECOMAP07,313Ak,Cold Desert-Great Basin Sagebrush,796,313A,313
1159,Utah,Mountain,UT,ECUN,SUBS,ECOMAP07,313Ah,Shinarump Steppe,797,313A,313
1160,Utah,Mountain,UT,ECUN,SUBS,ECOMAP07,341Bb,San Rafael Swell,698,341B,341
1161,Utah,Mountain,UT,ECUN,SUBS,ECOMAP07,341Fm,Clover Delamer-Bull Valley Mountains,702,341F,341
1162,Utah,Mountain,UT,ECUN,SUBS,ECOMAP07,341Ac,Needle-Wah Wah-Confusion Mountains,706,341A,341
1163,Utah,Mountain,UT,ECUN,SUBS,ECOMAP07,341Aa,Escalante Desert,709,341A,341
1164,Utah,Mountain,UT,ECUN,SUBS,ECOMAP07,M341Cn,Fishlake Plateau,711,M341C,M341
1165,Utah,Mountain,UT,ECUN,SUBS,ECOMAP07,341Ab,Mineral Mountains,714,341A,341
1166,Utah,Mountain,UT,ECUN,SUBS,ECOMAP07,M341Cl,Tushar Mountains,721,M341C,M341
1167,Utah,Mountain,UT,ECUN,SUBS,ECOMAP07,341Ap,Stansbury Range,657,341A,341
1168,Utah,Mountain,UT,ECUN,SUBS,ECOMAP07,M341Ba,Tavaputs Plateau South Uinta Basin,662,M341B,M341
1169,Utah,Mountain,UT,ECUN,SUBS,ECOMAP07,M341Cm,Monroe Mountain,722,M341C,M341
1170,Utah,Mountain,UT,ECUN,SUBS,ECOMAP07,341Bc,San Rafael Desert,727,341B,341
1171,Utah,Mountain,UT,ECUN,SUBS,ECOMAP07,M341Cf,John's Valley-Grass Valley,728,M341C,M341
1172,Utah,Mountain,UT,ECUN,SUBS,ECOMAP07,341Ba,Mancos Shale Lowlands-Grand Valley,669,341B,341
1173,Utah,Mountain,UT,ECUN,SUBS,ECOMAP07,M341Bd,Upper Tavaputs Plateau,674,M341B,M341
1174,Utah,Mountain,UT,ECUN,SUBS,ECOMAP07,M341Bg,Book Cliffs-Roan Cliffs,679,M341B,M341
1175,Utah,Mountain,UT,ECUN,SUBS,ECOMAP07,M341Cg,Awapa Plateau,741,M341C,M341
1176,Utah,Mountain,UT,ECUN,SUBS,ECOMAP07,341Bf,Capital Reef-Waterpocket Fold,742,341B,341
1177,Utah,Mountain,UT,ECUN,SUBS,ECOMAP07,341Bd,Salt Anticline Benchlands,746,341B,341
1178,Utah,Mountain,UT,ECUN,SUBS,ECOMAP07,M341Cd,Upper Sevier River Valley,768,M341C,M341
